OTU	Cluster	IndVal	Prob	Rank2	Rank3	Rank4	Rank5	Rank6	OTU
Otu00036	4	0.3345521023766	0.004	Acidobacteria	Acidobacteria_Gp1	Gp1	Gp1_unclassified	Gp1_unclassified	Otu00036
Otu00041	4	0.228822882288229	0.408	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Otu00041
Otu00055	4	0.241189427312775	0.302	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified	Otu00055
Otu00082	4	0.292368681863231	0.138	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified	Otu00082
Otu00085	4	0.317137809187279	0.149	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacterales_unclassified	Ktedonobacterales_unclassified	Otu00085
Otu00025	5	0.304865424430642	0.095	Acidobacteria	Acidobacteria_Gp6	Gp6	Gp6_unclassified	Gp6_unclassified	Otu00025
Otu00028	5	0.271049596309112	0.453	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Otu00028
Otu00024	6	0.239495798319328	0.415	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified	Otu00024
Otu00098	6	0.24704418170504	0.406	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified	Otu00098
Otu00121	6	0.212182741116751	0.343	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified	Otu00121
