"","source","treatment","ditch","mean.richness","se.richness","mean.shannon","se.shannon","mean.evenness","se.evenness"
"1","bulk_soil","M",0,3252,209.382823236928,5.92210250374777,0.0217890193655,0.029447988702635,0.000869839051592743
"2","bulk_soil","M",1,3164.75,192.486958432686,6.09458510749368,0.0529594161891281,0.0369142526099136,0.00165382615046225
"3","bulk_soil","MF",0,3620.25,348.824066209123,6.29308579425077,0.129269342059873,0.0387637148222871,0.00295788543512233
"4","bulk_soil","MF",1,3525.5,128.829021057628,6.33515714172641,0.0376528809864689,0.0390395680541334,0.001785345300525
"5","green_tea","M",0,1419,147.129761321993,4.69523199065567,0.0846473974513797,0.0293594689294282,0.00653779763138697
"6","green_tea","M",1,1561.25,135.212410056671,4.87989263082321,0.158256583553138,0.0238343635739788,0.00683188813341393
"7","green_tea","MF",0,1923.66666666667,201.132073800056,5.49276572907193,0.161744314545089,0.0425074015822689,0.0104297419230055
"8","green_tea","MF",1,2012.5,364.5,5.79443112337212,0.401017525762845,0.0572052866538876,0.0205214905500679
"9","rooibos_tea","M",0,1688,262.040709305507,4.9635313884045,0.0296235246772839,0.0293962361595795,0.0132081744948702
"10","rooibos_tea","M",1,1704.75,133.708872181318,5.30517959581048,0.281639986320636,0.0496563418084555,0.0123954803124082
"11","rooibos_tea","MF",0,1547.75,298.871314280913,5.10048403168412,0.385065175365367,0.0482804292926469,0.0153480721804315
"12","rooibos_tea","MF",1,2120.33333333333,162.523160742639,5.88692334706956,0.226181091525115,0.0788331734246236,0.0161612162662217
