"","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","richness","shannon","simp.even","J"
"WRC18_167_bulk","WRC18_167","bulk_soil","M",2,0,NA,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,3823,5.86922074824911,0.0303048449808058,0.741532956408414
"WRC18_168_bulk","WRC18_168","bulk_soil","MF",2,0,NA,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,3221,5.98589920150218,0.0313426185818986,0.752297254879882
"WRC18_171_bulk","WRC18_171","bulk_soil","M",3,1,NA,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,2796,6.00449831840226,0.0341577395784239,0.760215978612078
"WRC18_172_bulk","WRC18_172","bulk_soil","MF",3,1,NA,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,3251,6.32544639234457,0.0368751230728844,0.782679446812833
"WRC18_175_bulk","WRC18_175","bulk_soil","M",4,0,NA,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,3116,5.93283767159702,0.0281035886245544,0.747120347108373
"WRC18_176_bulk","WRC18_176","bulk_soil","MF",4,0,NA,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,2985,6.16988795900955,0.0393032436260963,0.772934872215918
"WRC18_179_bulk","WRC18_179","bulk_soil","M",5,1,NA,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,3412,6.05608600893592,0.0361025902196419,0.761521326495914
"WRC18_180_bulk","WRC18_180","bulk_soil","MF",5,1,NA,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,3873,6.28744296607466,0.0361199027714552,0.774942973554553
"WRC18_183_bulk","WRC18_183","bulk_soil","M",6,0,NA,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,3243,5.98631873374903,0.0316407092732182,0.750066584473918
"WRC18_184_bulk","WRC18_184","bulk_soil","MF",6,0,NA,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,4563,6.48343132274524,0.0391680786591564,0.789114143484477
"WRC18_187_bulk","WRC18_187","bulk_soil","M",7,1,NA,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,2879,6.06581746053787,0.0350617813017227,0.764416130636321
"WRC18_188_bulk","WRC18_188","bulk_soil","MF",7,1,NA,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,3475,6.44571111863073,0.0398655243020924,0.791091830027289
"WRC18_191_bulk","WRC18_191","bulk_soil","M",8,0,NA,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,2826,5.9086479085398,0.027618422994855,0.74525041843578
"WRC18_192_bulk","WRC18_192","bulk_soil","MF",8,0,NA,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,3712,6.54394678297816,0.0462829113251339,0.800871301165668
