OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus				Cluster#	
Otu00129	3	0.474564604	0.004	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified					
Otu00134	3	0.424245699	0.034	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcales_unclassified	Myxococcales_unclassified					
Otu00159	3	0.468063857	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified					
Otu00161	3	0.698260221	0.016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified					
Otu00173	3	0.764913124	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Lacibacterium					
Otu00193	3	0.54177059	0.005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified					
Otu00007	4	0.523524302	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp1	Gp1	Gp1_unclassified	Gp1_unclassified					
Otu00018	4	0.581496253	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinoallomurus					
Otu00020	4	0.594857136	0.001	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacterales_unclassified	Solirubrobacterales_unclassified					
Otu00032	4	0.466440397	0.001	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter					
Otu00036	4	0.632098313	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp1	Gp1	Gp1_unclassified	Gp1_unclassified					
Otu00044	4	0.4286474	0.001	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified					
Otu00045	4	0.542087862	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	Gp6_unclassified	Gp6_unclassified					
Otu00050	4	0.615808724	0.001	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacterales_unclassified	Solirubrobacterales_unclassified					
Otu00053	4	0.532997341	0.002	Bacteria	Acidobacteria	Acidobacteria_Gp13	Gp13	Gp13_unclassified	Gp13_unclassified					
Otu00057	4	0.492509131	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp3	Gp3	Gp3_unclassified	Gp3_unclassified					
Otu00060	4	0.460042009	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified					
Otu00073	4	0.551660962	0.002	Bacteria	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified					
Otu00078	4	0.575020362	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified					
Otu00085	4	0.610689008	0.001	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified					
Otu00055	5	0.596871479	0.001	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Tahibacter					
Otu00065	5	0.549941688	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified					
Otu00075	5	0.739940042	0.006	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella					
Otu00082	5	0.42108138	0.005	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified					
