plate_type,Row,Well,Substance,group
PM3B,F,2,adenine,nitrogen bases
PM3B,G,2,xanthosine,nucleosides and nucleotides
PM3B,H,2,ala-gln,oligopeptides
PM3B,A,3,nitrite,inorganic
PM3B,B,3,L-histidine,L-amino acids
PM3B,C,3,D-alanine,D-amino acids
PM3B,D,3,L-pyroglutamic acid,L-amino acids
PM3B,E,3,tyramine,amines
PM3B,F,3,adenosine,nucleosides and nucleotides
PM3B,G,3,uric acid,other organic 
PM3B,H,3,ala-glu,oligopeptides
PM3B,A,4,nitate,inorganic
PM3B,B,4,L-Isoleuine,L-amino acids
PM3B,C,4,D-asparagine,D-amino acids
PM3B,D,4,hydroxylamine,inorganic
PM3B,E,4,acetamide,other organic 
PM3B,F,4,cytidine,nucleosides and nucleotides
PM3B,G,4,alloxan,nitrogen bases
PM3B,H,4,ala-gly,oligopeptides
PM3B,A,5,urea,other organic 
PM3B,B,5,L-leucine,L-amino acids
PM3B,C,5,D-aspartic acid,D-amino acids
PM3B,D,5,methylamine,amines
PM3B,E,5,formamide,amines
PM3B,F,5,cystosine,nitrogen bases
PM3B,G,5,allantoin,allantoin
PM3B,H,5,ala-his,oligopeptides
PM3B,A,6,biuret,other organic 
PM3B,B,6,L-lysine,L-amino acids
PM3B,C,6,D-glutamic acid,D-amino acids
PM3B,D,6,N-amylamine,amines
PM3B,E,6,glucuronamide,modified sugars
PM3B,F,6,guanine,nitrogen bases
PM3B,G,6,parabanic acid,other organic 
PM3B,H,6,ala-leu,oligopeptides
PM3B,A,7,L-alanine,L-amino acids
PM3B,B,7,L-methionine,L-amino acids
PM3B,C,7,D-lysine,D-amino acids
PM3B,D,7,N-Butylamine,amines
PM3B,E,7,"D,L-lactmide",modified sugars
PM3B,F,7,guanosine,nucleosides and nucleotides
PM3B,G,7,"D, L alpha-amino-N butyric acid",modified carboxylic acids 
PM3B,H,7,ala-thr,oligopeptides
PM3B,A,8,L-arginine,L-amino acids
PM3B,B,8,L-phenylalanine,L-amino acids
PM3B,C,8,D-serine,D-amino acids
PM3B,D,8,Ethylamine,amines
PM3B,E,8,D-glucosamine,modified sugars
PM3B,F,8,thymine,nitrogen bases
PM3B,G,8,amino-N butryic acid,modified amino acids
PM3B,H,8,gly-asn,oligopeptides
PM3B,A,9,L-asparagine,L-amino acids
PM3B,B,9,L-proline,L-amino acids
PM3B,C,9,D-valine,D-amino acids
PM3B,D,9,ethanolamine,amines
PM3B,E,9,D-galactosamine,modified sugars
PM3B,F,9,thymidine,nucleosides and nucleotides
PM3B,G,9,amino-N-caproic acid,carboxylic acids
PM3B,H,9,gly-gln,oligopeptides
PM3B,A,10,L-aspartic acid,L-amino acids
PM3B,B,10,L-serine,L-amino acids
PM3B,C,10,L-citriline,L-amino acids
PM3B,D,10,ethylenediamine ,other organic 
PM3B,E,10,D-mannosamine,modified sugars
PM3B,F,10,uracil,nitrogen bases
PM3B,G,10,"D,L alpha-amino caprylic acid",modified carboxylic acids 
PM3B,H,10,gly-glu,oligopeptides
PM3B,A,11,L-cysteine,L-amino acids
PM3B,B,11,L-threonine,L-amino acids
PM3B,C,11,L-homoserine,L-amino acids
PM3B,D,11,putescine,amines
